compound_smiles,viscosity_value,temperature_K,pressure_kPa
CCCC[N+](C)(CCCC)CCCC.NCCS(=O)(=O)[O-],4.0,303.15,101.325
CCCCCC[n+]1ccn(C)c1.[Br-],4.0,298.15,101.325
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CN1CCOCC1,3.976,328.15,100.0
CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,3.96,313.15,101.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.957,277.09,101.325
CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[n+]1ccn(CCC#N)c1,3.951,318.15,101.325
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCn1cc[n+](C)c1,3.95,283.1,101.325
C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,3.929,298.15,101.325
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.924,273.15,100.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,3.916,298.15,101.325
CCCCCCCCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,3.895,273.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.889,278.15,100.0
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCCCCCC[N+]1(C)CCOCC1,3.887,313.15,101.325
C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CCCC[N+]1(C)CCCC1,3.846,293.15,101.325
C[N+]1(CC(O)CO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.811,288.1,101.325
CCCC[n+]1ccn(C)c1.[Cl-],3.8,313.15,101.325
CCCC[P+](CCCC)(CCCC)CCCC.O=S(=O)([O-])CC(O)CNC1CCCCC1,3.796,308.15,100.0
C[N+](C)(C)CCO.N[C@@H](CO)C(=O)[O-],3.793,308.15,101.325
CCOP(=O)([O-])OCC.CC[N+]1(C)CCOCC1,3.786,303.15,100.0
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.777,277.68,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.737,277.76,101.325
CCCCC(CC)CCC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,3.733,298.15,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cc1ncc([N+](=O)[O-])[n-]1,3.73,283.15,101.325
Cn1cc[n+](Cc2ccccc2)c1.[Cl-],3.725,298.15,101.325
CCCCCCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,3.72,278.15,101.325
CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],3.716,313.15,100.0
C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,3.7,289.96,100.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCn1c[n+](C)cc1.[O-]C(=O)C,3.7,303.67,101.325
N[C@@H](CCCCN)C(=O)[O-].C(CCC)N1C=[N+](C=C1)C=C,3.7,313.15,101.3
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.693,277.85,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,3.685,313.15,101.325
CCCCCCCCn1cc[n+](CCC#N)c1.[Cl-],3.673,333.15,101.325
C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,3.661,293.15,101.325
CCCCCCCC[P+](CC)(CC)CC.Cc1ncc([N+](=O)[O-])[n-]1,3.66,278.15,100.0
CCCCCCOC(=O)CC(C(=O)OCCCCCC)C(C(=O)OCCCCCC)S(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,3.639,298.15,101.325
CC[n+]1ccn(C)c1.O=S(=O)([O-])O,3.635,288.15,101.325
CC(=O)N[C@H](C(=O)[O-])C(C)C.CCCCCC[N+]1(C)CCOCC1,3.632,308.15,101.325
Cn1cc[n+](CCO)c1.O=C([O-])c1ncc[nH]1,3.632,313.0,101.325
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])C(F)(F)F,3.629,288.15,101.325
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,3.612,298.15,101.325
CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3.602,318.15,101.325
C[N+](C)(C)CCO.N[C@@H](CO)C(=O)[O-],3.59873,298.15,100.0
CC[NH+](CC)CC.O=P([O-])(O)O,3.593,348.0,101.325
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])c1cn[n-]c1,3.56,278.15,101.325
CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3.55,288.15,101.325
CC(=O)N[C@@H](C)C(=O)[O-].CCC[N+]1(C)CCOCC1,3.546,298.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.543,278.15,101.325
CCCCCCCCCCn1cc[n+](CCC#N)c1.CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],3.536,323.15,101.325
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.523,278.46,101.325
CCCCCCCCCC[n+]1ccn(C)c1.O=P([O-])(O)OP(=O)(O)O,3.521,323.15,101.325
